기간	자치구	공원	공원	도시공원	도시공원	도보생활권공원	도보생활권공원
기간	자치구	면적	1인당 공원면적(㎡)	면적	1인당 도시공원면적(㎡)	면적	1인당 도보생활권공원면적(㎡)
2020	합계	172,317.39	17.39	118,940.37	12	54,442.22	5.49
2020	종로구	11,402.58	71.72	6,280.66	39.5	3,024.28	19.02
2020	중구	3,163.83	23.5	3,091.30	22.96	1,344.78	9.99
2020	용산구	1,777.06	7.26	760.62	3.11	1,612.72	6.59
2020	성동구	3,073.98	10.23	1,231.01	4.1	2,896.08	9.64
2020	광진구	3,451.04	9.58	2,985.27	8.29	1,350.93	3.75
2020	동대문구	1,219.25	3.42	978.13	2.74	1,048.74	2.94
2020	중랑구	4,990.30	12.49	4,807.63	12.03	1,668.90	4.18
2020	성북구	8,507.35	19.03	4,586.77	10.26	1,640.43	3.67
2020	강북구	14,424.50	46.3	2,369.58	7.61	1,955.55	6.28
2020	도봉구	10,160.38	31.04	1,250.21	3.82	1,121.06	3.42
2020	노원구	14,741.81	27.97	14,406.71	27.34	1,883.81	3.57
2020	은평구	14,365.72	29.68	6,597.53	13.63	2,200.62	4.55
2020	서대문구	5,082.16	15.74	4,843.67	15	1,123.23	3.48
2020	마포구	4,565.37	11.96	3,252.39	8.52	4,337.71	11.36
2020	양천구	3,049.63	6.66	2,627.05	5.74	2,205.57	4.82
2020	강서구	4,512.05	7.7	3,427.68	5.85	3,519.75	6.01
2020	구로구	3,641.45	8.42	3,319.70	7.68	1,533.35	3.55
2020	금천구	2,774.38	11.19	2,610.40	10.53	562.74	2.27
2020	영등포구	3,009.28	7.39	664.47	1.63	2,957.42	7.26
2020	동작구	4,328.74	10.78	4,092.53	10.19	2,311.18	5.76
2020	관악구	12,431.42	24.38	12,424.91	24.37	1,910.24	3.75
2020	서초구	15,072.56	35.13	14,265.72	33.25	2,147.80	5.01
2020	강남구	7,768.75	14.28	6,479.09	11.91	3,628.21	6.67
2020	송파구	4,771.42	7.08	2,097.14	3.11	4,357.26	6.47
2020	강동구	3,362.41	7.25	2,820.18	6.08	2,099.86	4.53
2020	서울대공원	6,670.00	-	6,670.00	-	-	-
